time,value,timestamp,range,voltage,direction,sequence
8.106231689453125e-06,10825000.0,2025-11-07 15:30:48.076983,2000000.0,50,#1,0
0.9121088981628418,10825000.0,2025-11-07 15:30:48.760535,2000000.0,50,#1,0
1.5954771041870117,10824280.0,2025-11-07 15:30:49.442923,2000000.0,50,#1,0
2.273345947265625,10824280.0,2025-11-07 15:30:50.114805,2000000.0,50,#1,0
2.9491190910339355,10824330.0,2025-11-07 15:30:50.797546,2000000.0,50,#1,0
3.6325368881225586,10824330.0,2025-11-07 15:30:51.479502,2000000.0,50,#1,0
4.313592910766602,10824220.0,2025-11-07 15:30:52.160243,2000000.0,50,#1,0
4.996079921722412,10824190.0,2025-11-07 15:30:52.842211,2000000.0,50,#1,0
5.677688837051392,10824220.0,2025-11-07 15:30:53.524156,2000000.0,50,#1,0
6.355417013168335,10824260.0,2025-11-07 15:30:54.189108,2000000.0,50,#1,0
7.022733926773071,10824370.0,2025-11-07 15:30:54.870111,2000000.0,50,#1,0
7.7049970626831055,10824410.0,2025-11-07 15:30:55.553440,2000000.0,50,#1,0
8.387002944946289,10824410.0,2025-11-07 15:30:56.236273,2000000.0,50,#1,0
9.06914496421814,10824420.0,2025-11-07 15:30:56.918971,2000000.0,50,#1,0
9.754040002822876,10824420.0,2025-11-07 15:30:57.602344,2000000.0,50,#1,0
10.435663938522339,10824610.0,2025-11-07 15:30:58.285093,2000000.0,50,#1,0
11.120857000350952,10824020.0,2025-11-07 15:30:58.967862,2000000.0,50,#1,0
11.802781105041504,10824760.0,2025-11-07 15:30:59.651237,2000000.0,50,#1,0
12.484139204025269,10824010.0,2025-11-07 15:31:00.333119,2000000.0,50,#1,0
13.168301820755005,10824410.0,2025-11-07 15:31:01.015797,2000000.0,50,#1,0
13.849318981170654,10824410.0,2025-11-07 15:31:01.698393,2000000.0,50,#1,0
14.53050708770752,10824410.0,2025-11-07 15:31:02.373726,2000000.0,50,#1,0
15.202574014663696,10824420.0,2025-11-07 15:31:03.048653,2000000.0,50,#1,0
15.887034893035889,10824410.0,2025-11-07 15:31:03.729642,2000000.0,50,#1,0
16.560220956802368,10824420.0,2025-11-07 15:31:04.399910,2000000.0,50,#1,0
17.23109793663025,10824440.0,2025-11-07 15:31:05.065640,2000000.0,50,#1,0
17.904371976852417,10824440.0,2025-11-07 15:31:05.749316,2000000.0,50,#1,0
18.586575984954834,10824390.0,2025-11-07 15:31:06.432737,2000000.0,50,#1,0
19.271951913833618,10824390.0,2025-11-07 15:31:07.123110,2000000.0,50,#1,0
19.960802793502808,10824400.0,2025-11-07 15:31:07.816508,2000000.0,50,#1,0
20.654156923294067,10824410.0,2025-11-07 15:31:08.489079,2000000.0,50,#1,0
21.327989101409912,10824410.0,2025-11-07 15:31:09.166761,2000000.0,50,#1,0
22.00741410255432,10824410.0,2025-11-07 15:31:09.852903,2000000.0,50,#1,0
22.684359073638916,10824440.0,2025-11-07 15:31:10.528024,2000000.0,50,#1,0
23.3787899017334,10824480.0,2025-11-07 15:31:11.219936,2000000.0,50,#1,0
24.051361083984375,10824540.0,2025-11-07 15:31:11.891708,2000000.0,50,#1,0
24.720916986465454,10824540.0,2025-11-07 15:31:12.573474,2000000.0,50,#1,0
25.405925035476685,10824360.0,2025-11-07 15:31:13.243389,2000000.0,50,#1,0
26.074100017547607,10824360.0,2025-11-07 15:31:13.946321,2000000.0,50,#1,0
26.798065900802612,10824360.0,2025-11-07 15:31:14.639244,2000000.0,50,#1,0
27.4717378616333,10824360.0,2025-11-07 15:31:15.309245,2000000.0,50,#1,0
