time,value,timestamp
2.86102294921875e-06,10824580.0,2025-11-03 14:44:43.075979
0.34896087646484375,10824580.0,2025-11-03 14:44:43.189147
0.4620957374572754,10824630.0,2025-11-03 14:44:43.309077
0.5820207595825195,10824780.0,2025-11-03 14:44:43.423353
0.6963560581207275,10824900.0,2025-11-03 14:44:43.543220
0.8162286281585693,10825030.0,2025-11-03 14:44:43.657237
0.9302330017089844,10825030.0,2025-11-03 14:44:43.777243
1.0503380298614502,10825030.0,2025-11-03 14:44:43.898292
1.1712367534637451,10825110.0,2025-11-03 14:44:44.036972
1.3101119995117188,10825160.0,2025-11-03 14:44:44.157316
1.430264949798584,10825210.0,2025-11-03 14:44:44.279802
1.5527820587158203,10825250.0,2025-11-03 14:44:44.399715
1.672712802886963,10825290.0,2025-11-03 14:44:44.512828
1.7858176231384277,10825330.0,2025-11-03 14:44:44.633380
1.9063148498535156,10825350.0,2025-11-03 14:44:44.746754
2.0197479724884033,10825380.0,2025-11-03 14:44:44.866572
2.1395246982574463,10825420.0,2025-11-03 14:44:44.980548
2.253499746322632,10825380.0,2025-11-03 14:44:45.100157
2.3730828762054443,10825400.0,2025-11-03 14:44:45.213411
2.4863579273223877,10825390.0,2025-11-03 14:44:45.333230
2.606160879135132,10825390.0,2025-11-03 14:44:45.447289
2.7202038764953613,10825390.0,2025-11-03 14:44:45.567092
2.840007781982422,10825360.0,2025-11-03 14:44:45.680286
2.9532358646392822,10825490.0,2025-11-03 14:44:45.814490
3.0874507427215576,10825510.0,2025-11-03 14:44:45.934305
3.207257032394409,10825510.0,2025-11-03 14:44:46.056718
3.3296737670898438,10825460.0,2025-11-03 14:44:46.176633
3.4496209621429443,10825450.0,2025-11-03 14:44:46.289962
3.5629618167877197,10825460.0,2025-11-03 14:44:46.409695
3.68269681930542,10825490.0,2025-11-03 14:44:46.532083
3.8050777912139893,10825520.0,2025-11-03 14:44:46.666236
3.9392359256744385,10825550.0,2025-11-03 14:44:46.786156
4.059139966964722,10825520.0,2025-11-03 14:44:46.908388
4.181356906890869,10825500.0,2025-11-03 14:44:47.042445
4.315380811691284,10825490.0,2025-11-03 14:44:47.162366
4.4353179931640625,10825500.0,2025-11-03 14:44:47.275560
4.548553943634033,10825490.0,2025-11-03 14:44:47.396454
4.669466733932495,10825490.0,2025-11-03 14:44:47.509478
4.78246808052063,10825490.0,2025-11-03 14:44:47.629231
4.902179956436157,10825570.0,2025-11-03 14:44:47.750764
