time,value,timestamp
3.0994415283203125e-06,9.91e+37,2025-11-03 12:37:06.800744
0.1040349006652832,9.91e+37,2025-11-03 12:37:06.903942
0.20719385147094727,9.91e+37,2025-11-03 12:37:07.011561
0.314816951751709,9.91e+37,2025-11-03 12:37:07.117294
0.42058277130126953,9.91e+37,2025-11-03 12:37:07.219045
0.5222997665405273,9.91e+37,2025-11-03 12:37:07.338044
0.6412968635559082,9.91e+37,2025-11-03 12:37:07.448275
0.7515850067138672,9.91e+37,2025-11-03 12:37:07.554090
0.857407808303833,9.91e+37,2025-11-03 12:37:07.663604
0.9670348167419434,9.91e+37,2025-11-03 12:37:07.769085
1.0724258422851562,9.91e+37,2025-11-03 12:37:07.870574
1.1738219261169434,9.91e+37,2025-11-03 12:37:07.989571
1.2928078174591064,9.91e+37,2025-11-03 12:37:08.099569
1.4027869701385498,9.91e+37,2025-11-03 12:37:08.205367
1.5086088180541992,9.91e+37,2025-11-03 12:37:08.314594
1.6178479194641113,9.91e+37,2025-11-03 12:37:08.420379
1.7236359119415283,9.91e+37,2025-11-03 12:37:08.529634
1.8328797817230225,9.91e+37,2025-11-03 12:37:08.635339
1.9385809898376465,9.91e+37,2025-11-03 12:37:08.745387
2.0486438274383545,9.91e+37,2025-11-03 12:37:08.850383
2.1536428928375244,9.91e+37,2025-11-03 12:37:08.960355
2.26361083984375,9.91e+37,2025-11-03 12:37:09.072878
2.3761658668518066,9.91e+37,2025-11-03 12:37:09.174571
2.4778659343719482,9.91e+37,2025-11-03 12:37:09.293747
2.597043991088867,9.91e+37,2025-11-03 12:37:09.403035
2.70634388923645,9.91e+37,2025-11-03 12:37:09.508611
2.811863899230957,9.91e+37,2025-11-03 12:37:09.618812
2.9221129417419434,9.91e+37,2025-11-03 12:37:09.724548
3.027848958969116,9.91e+37,2025-11-03 12:37:09.833620
3.136875867843628,9.91e+37,2025-11-03 12:37:09.939505
3.242794990539551,9.91e+37,2025-11-03 12:37:10.048508
3.3517558574676514,9.91e+37,2025-11-03 12:37:10.154553
3.45784592628479,9.91e+37,2025-11-03 12:37:10.262828
3.56612491607666,9.91e+37,2025-11-03 12:37:10.368630
3.671928644180298,9.91e+37,2025-11-03 12:37:10.478629
3.781921863555908,9.91e+37,2025-11-03 12:37:10.584392
3.887650966644287,9.91e+37,2025-11-03 12:37:10.693652
3.9969546794891357,9.91e+37,2025-11-03 12:37:10.799457
4.102765083312988,9.91e+37,2025-11-03 12:37:10.908492
4.211726665496826,9.91e+37,2025-11-03 12:37:11.014174
4.317403793334961,9.91e+37,2025-11-03 12:37:11.123504
4.426800727844238,9.91e+37,2025-11-03 12:37:11.229313
4.532613754272461,9.91e+37,2025-11-03 12:37:11.339367
4.642664909362793,9.91e+37,2025-11-03 12:37:11.445210
4.748517751693726,9.91e+37,2025-11-03 12:37:11.554291
4.857592821121216,9.91e+37,2025-11-03 12:37:11.660244
4.963545799255371,9.91e+37,2025-11-03 12:37:11.761551
